car_ID,CarName,fueltype,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,horsepower,citympg,highwaympg,price
124,plymouth valiant,gas,174.6,64.6,59.8,2535,four,122.0,88.0,24,30,
125,plymouth duster,gas,173.2,66.3,50.2,2818,four,156.0,145.0,19,24,12764.0
126,porsche macan,gas,168.9,68.3,50.2,2778,four,151.0,143.0,19,27,22018.0
127,porcshce panamera,gas,168.9,65.0,51.6,2756,six,194.0,207.0,17,25,32528.0
128,porsche cayenne,gas,168.9,65.0,51.6,2756,six,194.0,207.0,17,25,34028.0
129,porsche boxter,gas,168.9,65.0,51.6,2800,six,194.0,207.0,17,25,37028.0
130,porsche cayenne,gas,175.7,72.3,50.5,3366,eight,203.0,288.0,17,28,31400.5
131,renault 12tl,gas,181.5,66.5,55.2,2579,four,132.0,90.0,23,31,9295.0
132,renault 5 gtl,gas,176.8,66.6,50.5,2460,four,132.0,90.0,23,31,9895.0
133,saab 99e,gas,186.6,66.5,56.1,2658,four,121.0,110.0,21,28,11850.0
134,saab 99le,gas,186.6,66.5,56.1,2695,four,121.0,,21,28,12170.0
135,saab 99le,gas,186.6,66.5,56.1,2707,four,121.0,110.0,21,28,15040.0
136,saab 99gle,gas,186.6,66.5,56.1,2758,four,121.0,110.0,21,28,15510.0
137,saab 99gle,gas,186.6,66.5,56.1,2808,four,,160.0,19,26,
138,saab 99e,gas,186.6,66.5,56.1,2847,four,121.0,160.0,19,26,
139,subaru,gas,156.9,63.4,53.7,2050,four,97.0,69.0,31,36,5118.0
140,subaru dl,gas,157.9,63.6,53.7,2120,four,108.0,73.0,26,31,7053.0
141,subaru dl,gas,157.3,63.8,55.7,2240,four,108.0,73.0,26,31,7603.0
142,subaru,gas,172.0,65.4,52.5,2145,four,108.0,82.0,32,37,
143,subaru brz,gas,172.0,65.4,52.5,2190,four,108.0,82.0,28,33,7775.0
144,subaru baja,gas,172.0,65.4,52.5,2340,four,108.0,94.0,26,32,9960.0
145,subaru r1,gas,172.0,65.4,54.3,2385,four,,82.0,24,25,9233.0
146,subaru r2,gas,172.0,65.4,54.3,2510,four,108.0,111.0,24,29,11259.0
147,subaru trezia,gas,173.5,65.4,53.0,2290,four,108.0,82.0,28,32,7463.0
148,subaru tribeca,gas,173.5,65.4,53.0,2455,four,108.0,94.0,25,31,10198.0
149,subaru dl,gas,173.6,65.4,54.9,2420,four,108.0,82.0,23,29,8013.0
150,subaru dl,gas,173.6,65.4,54.9,2650,four,108.0,111.0,23,23,
151,toyota corona mark ii,gas,158.7,63.6,54.5,1985,four,92.0,62.0,35,39,5348.0
152,toyota corona,gas,158.7,63.6,54.5,2040,four,,62.0,31,38,6338.0
153,toyota corolla 1200,gas,158.7,63.6,54.5,2015,four,92.0,62.0,31,38,6488.0
154,toyota corona hardtop,gas,169.7,63.6,59.1,2280,four,92.0,62.0,31,37,6918.0
155,toyota corolla 1600 (sw),gas,169.7,63.6,59.1,2290,four,92.0,62.0,27,32,7898.0
156,toyota carina,gas,169.7,63.6,59.1,3110,four,92.0,62.0,27,32,8778.0
157,toyota mark ii,gas,166.3,64.4,53.0,2081,four,98.0,70.0,30,37,6938.0
158,toyota corolla 1200,gas,166.3,64.4,52.8,2109,four,98.0,,30,37,7198.0
159,toyota corona,diesel,166.3,64.4,53.0,2275,four,110.0,56.0,34,36,7898.0
160,toyota corolla,diesel,166.3,64.4,52.8,2275,four,110.0,56.0,38,47,7788.0
161,toyota corona,gas,166.3,64.4,53.0,2094,four,98.0,70.0,38,47,7738.0
162,toyota corolla,gas,166.3,64.4,52.8,2122,four,98.0,70.0,28,34,8358.0
163,toyota mark ii,gas,166.3,64.4,52.8,2140,four,98.0,,28,34,9258.0
164,toyota corolla liftback,gas,168.7,64.0,52.6,2169,four,98.0,70.0,29,34,8058.0
165,toyota corona,gas,168.7,64.0,52.6,2204,four,98.0,,29,34,8238.0
166,toyota celica gt liftback,gas,168.7,64.0,52.6,2265,four,98.0,112.0,26,29,9298.0
167,toyota corolla tercel,gas,168.7,64.0,52.6,2300,four,,112.0,26,29,9538.0
168,toyota corona liftback,gas,176.2,65.6,52.0,2540,four,146.0,116.0,24,30,8449.0
169,toyota corolla,gas,176.2,65.6,52.0,2536,four,146.0,116.0,24,30,9639.0
170,toyota starlet,gas,176.2,65.6,52.0,2551,four,146.0,116.0,24,30,9989.0
171,toyota tercel,gas,176.2,65.6,52.0,2679,four,146.0,116.0,24,30,11199.0
172,toyota corolla,gas,176.2,65.6,52.0,2714,four,146.0,116.0,24,30,11549.0
173,toyota cressida,gas,176.2,65.6,53.0,2975,four,146.0,116.0,24,30,17669.0
174,toyota corolla,gas,175.6,66.5,54.9,2326,four,122.0,92.0,29,34,8948.0
175,toyota celica gt,diesel,175.6,66.5,54.9,2480,four,,73.0,30,33,10698.0
176,toyota corona,gas,175.6,66.5,53.9,2414,four,122.0,92.0,27,32,9988.0
177,toyota corolla,gas,175.6,66.5,54.9,2414,four,,92.0,27,32,10898.0
178,toyota mark ii,gas,175.6,66.5,53.9,2458,four,122.0,92.0,27,32,11248.0
179,toyota corolla liftback,gas,183.5,67.7,52.0,2976,six,171.0,161.0,20,24,16558.0
180,toyota corona,gas,183.5,67.7,52.0,3016,six,,161.0,19,24,15998.0
181,toyota starlet,gas,187.8,66.5,54.1,3131,six,171.0,156.0,20,24,15690.0
182,toyouta tercel,gas,187.8,66.5,54.1,3151,six,161.0,156.0,19,24,
183,vokswagen rabbit,diesel,171.7,65.5,55.7,2261,four,97.0,52.0,37,46,7775.0
184,volkswagen 1131 deluxe sedan,gas,171.7,65.5,55.7,2209,four,109.0,85.0,27,34,7975.0
185,volkswagen model 111,diesel,171.7,65.5,55.7,2264,four,97.0,52.0,37,46,7995.0
186,volkswagen type 3,gas,171.7,65.5,55.7,2212,four,109.0,85.0,27,34,8195.0
187,volkswagen 411 (sw),gas,171.7,65.5,55.7,2275,four,109.0,85.0,27,34,8495.0
188,volkswagen super beetle,diesel,171.7,65.5,55.7,2319,four,97.0,68.0,37,42,9495.0
189,volkswagen dasher,gas,171.7,65.5,55.7,2300,four,109.0,100.0,26,32,9995.0
190,vw dasher,gas,159.3,64.2,55.6,2254,four,109.0,90.0,24,29,
191,vw rabbit,gas,165.7,64.0,51.4,2221,four,109.0,90.0,24,29,9980.0
192,volkswagen rabbit,gas,180.2,66.9,55.1,2661,five,136.0,,19,24,13295.0
193,volkswagen rabbit custom,diesel,180.2,66.9,55.1,2579,four,97.0,68.0,33,38,13845.0
194,volkswagen dasher,gas,183.1,66.9,55.1,2563,four,109.0,88.0,25,31,12290.0
195,volvo 145e (sw),gas,188.8,67.2,56.2,2912,four,141.0,114.0,23,28,12940.0
196,volvo 144ea,gas,188.8,67.2,57.5,3034,four,141.0,114.0,23,28,13415.0
197,volvo 244dl,gas,188.8,67.2,56.2,2935,four,141.0,114.0,24,28,15985.0
198,volvo 245,gas,188.8,67.2,57.5,3042,four,141.0,114.0,24,28,16515.0
199,volvo 264gl,gas,188.8,67.2,56.2,3045,four,130.0,162.0,17,22,18420.0
200,volvo diesel,gas,188.8,67.2,57.5,3157,four,130.0,162.0,17,22,18950.0
201,volvo 145e (sw),gas,188.8,68.9,55.5,2952,four,141.0,114.0,23,28,16845.0
202,volvo 144ea,gas,188.8,68.8,55.5,3049,four,141.0,160.0,19,25,19045.0
203,volvo 244dl,gas,188.8,68.9,55.5,3012,six,173.0,134.0,18,23,21485.0
204,volvo 246,diesel,188.8,68.9,55.5,3217,six,145.0,106.0,26,27,22470.0
205,volvo 264gl,gas,188.8,68.9,55.5,3062,four,141.0,114.0,19,25,22625.0
